2023-08-23 10:25:07.207 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.wojucai.service.TestUserService], using SpringBootContextLoader
2023-08-23 10:25:07.217 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.wojucai.service.TestUserService]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-08-23 10:25:07.217 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.wojucai.service.TestUserService]: TestUserService does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-08-23 10:25:07.340 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.wojucai.OAuthApplication for test class com.wojucai.service.TestUserService
2023-08-23 10:25:07.441 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-08-23 10:25:07.451 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@293bb8a5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2416a51, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6fa590ba, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6e9319f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@72e34f77, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7bf9b098, org.springframework.test.context.event.EventPublishingTestExecutionListener@389adf1d, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@77307458, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1fc0053e, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@290b1b2e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@47874b25, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@33617539, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@2c177f9e]
2023-08-23 10:25:08.155 [main] INFO  com.wojucai.service.TestUserService - Starting TestUserService using Java 11.0.11 on LAPTOP-PQIHT6TS with PID 10000 (started by Xuyujie in D:\面试\OAuth-Project\AuthorizationServer)
2023-08-23 10:25:08.155 [main] INFO  com.wojucai.service.TestUserService - No active profile set, falling back to 1 default profile: "default"
2023-08-23 10:25:09.212 [main] INFO  org.springframework.cloud.context.scope.GenericScope - BeanFactory id=6c84ee03-6be5-36ac-8974-b4a0d2f05793
2023-08-23 10:25:10.939 [main] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2023-08-23 10:25:11.836 [main] INFO  com.wojucai.service.TestUserService - Started TestUserService in 4.348 seconds (JVM running for 5.466)
