2023-07-30 15:14:59.764 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.wojucai.service.impl.ClientServiceImplTest], using SpringBootContextLoader
2023-07-30 15:14:59.779 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.wojucai.service.impl.ClientServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-07-30 15:14:59.781 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.wojucai.service.impl.ClientServiceImplTest]: ClientServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-07-30 15:15:00.233 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.wojucai.OAuthResourceServer for test class com.wojucai.service.impl.ClientServiceImplTest
2023-07-30 15:15:00.401 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-07-30 15:15:00.451 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7f5a25e2, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@553d828a, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6cb759d5, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2ba9765b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5f233f9, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3c62c81f, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6a4d57b7, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@a36ff0b, org.springframework.test.context.event.EventPublishingTestExecutionListener@1ecf784f, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@344769b9, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@34376069, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@9c40f43, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6cac0334, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6329a5b9, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@6c92a59d]
2023-07-30 15:15:00.552 [main] INFO  org.springframework.boot.devtools.restart.RestartApplicationListener - Restart disabled due to an agent-based reloader being active
2023-07-30 15:15:01.382 [main] INFO  com.wojucai.service.impl.ClientServiceImplTest - Starting ClientServiceImplTest using Java 1.8.0_291 on LAPTOP-PQIHT6TS with PID 14424 (started by Xuyujie in D:\面试\OAuth-Project\OAuth-ResourceServer)
2023-07-30 15:15:01.389 [main] INFO  com.wojucai.service.impl.ClientServiceImplTest - The following 1 profile is active: "dev"
2023-07-30 15:15:03.399 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-07-30 15:15:03.504 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 82 ms. Found 2 JPA repository interfaces.
